date,total_passengers_arr,sea_total_arr,sea_indonesia_arr,sea_malaysia_arr,sea_philippines_arr,sea_thailand_arr,sea_vietnam_arr,nth_east_asia_total_arr,nth_east_asia_china_arr,nth_east_asia_hongkong_arr,nth_east_asia_japan_arr,sth_asia_total_arr,mid_east_total_arr,oceania_total_arr,europe_total_arr,europe_france_arr,europe_germany_arr,europe_UK_arr,nth_america_total_arr,other_regions_total_arr
  1961 Jan,11814,na,1687,na,139,1172,na,na,na,941,104,na,na,na,na,na,na,858,na,na
  1961 Feb,11027,na,1671,na,139,1172,na,na,na,991,127,na,na,na,na,na,na,427,na,na
  1961 Mar,12703,na,1960,na,307,1414,na,na,na,1074,150,na,na,na,na,na,na,425,na,na
  1961 Apr,13159,na,2107,na,439,1393,na,na,na,1222,110,na,na,na,na,na,na,390,na,na
  1961 May,12221,na,1707,na,390,1325,na,na,na,1361,127,na,na,na,na,na,na,399,na,na
  1961 Jun,11532,na,1767,na,197,1065,na,na,na,1240,154,na,na,na,na,na,na,720,na,na
  1961 Jul,13655,na,2098,na,249,1337,na,na,na,1305,141,na,na,na,na,na,na,1594,na,na
  1961 Aug,13501,na,1857,na,313,1141,na,na,na,1225,126,na,na,na,na,na,na,1099,na,na
  1961 Sep,12974,na,1808,na,221,1129,na,na,na,1244,193,na,na,na,na,na,na,872,na,na
  1961 Oct,13619,na,1953,na,374,1632,na,na,na,1401,195,na,na,na,na,na,na,691,na,na
  1961 Nov,13505,na,1887,na,373,1718,na,na,na,1477,189,na,na,na,na,na,na,454,na,na
  1961 Dec,14951,na,2002,na,243,1602,na,na,na,1335,227,na,na,na,na,na,na,733,na,na
  1962 Jan,13149,na,1555,na,209,1356,na,na,na,1238,136,na,na,na,na,na,na,559,na,na
  1962 Feb,12196,na,1638,na,319,1197,na,na,na,884,160,na,na,na,na,na,na,350,na,na
  1962 Mar,13230,na,2142,na,359,1278,na,na,na,1065,247,na,na,na,na,na,na,412,na,na
  1962 Apr,15300,na,2177,na,544,1457,na,na,na,1611,306,na,na,na,na,na,na,359,na,na
  1962 May,14352,na,1764,na,485,1777,na,na,na,1678,188,na,na,na,na,na,na,332,na,na
  1962 Jun,12694,na,1691,na,316,1222,na,na,na,1240,178,na,na,na,na,na,na,433,na,na
  1962 Jul,14982,na,1994,na,550,1791,na,na,na,1345,197,na,na,na,na,na,na,1480,na,na
  1962 Aug,15403,na,2053,na,297,1674,na,na,na,1570,240,na,na,na,na,na,na,845,na,na
  1962 Sep,14135,na,2650,na,232,1227,na,na,na,1140,170,na,na,na,na,na,na,646,na,na
  1962 Oct,14856,na,1870,na,382,1932,na,na,na,1796,198,na,na,na,na,na,na,626,na,na
  1962 Nov,16290,na,1694,na,364,2496,na,na,na,1756,222,na,na,na,na,na,na,570,na,na
  1962 Dec,16798,na,2283,na,224,1728,na,na,na,1435,164,na,na,na,na,na,na,781,na,na
  1963 Jan,14446,na,1623,na,239,1236,na,na,na,1241,105,na,na,na,na,na,na,864,na,na
  1963 Feb,13284,na,1447,na,325,1490,na,na,na,1203,180,na,na,na,na,na,na,581,na,na
  1963 Mar,15993,na,2170,na,321,1881,na,na,na,1464,211,na,na,na,na,na,na,667,na,na
  1963 Apr,17141,na,2072,na,499,1993,na,na,na,2017,145,na,na,na,na,na,na,486,na,na
  1963 May,16200,na,2045,na,317,2257,na,na,na,1639,159,na,na,na,na,na,na,851,na,na
  1963 Jun,13854,na,1836,na,226,1432,na,na,na,1321,172,na,na,na,na,na,na,611,na,na
  1963 Jul,17634,na,2305,na,436,1950,na,na,na,1815,183,na,na,na,na,na,na,1718,na,na
  1963 Aug,18278,na,2156,na,252,2696,na,na,na,1750,200,na,na,na,na,na,na,837,na,na
  1963 Sep,14838,na,1555,na,305,1566,na,na,na,1457,106,na,na,na,na,na,na,579,na,na
  1963 Oct,14671,na,26,na,392,2287,na,na,na,1980,89,na,na,na,na,na,na,648,na,na
  1963 Nov,16172,na,39,na,369,2385,na,na,na,2294,155,na,na,na,na,na,na,759,na,na
  1963 Dec,16308,na,19,na,303,1860,na,na,na,1552,103,na,na,na,na,na,na,877,na,na
  1964 Jan,15535,na,85,na,226,1697,na,na,na,1539,168,na,na,na,na,na,na,1331,na,na
  1964 Feb,16771,na,29,na,570,1795,na,na,na,1267,95,na,na,na,na,na,na,1633,na,na
  1964 Mar,16948,na,206,na,568,2295,na,na,na,1529,214,na,na,na,na,na,na,778,na,na
  1964 Apr,16668,na,438,na,546,2035,na,na,na,1830,169,na,na,na,na,na,na,360,na,na
  1964 May,17118,na,279,na,456,2257,na,na,na,1889,148,na,na,na,na,na,na,495,na,na
  1964 Jun,14445,na,281,na,336,1665,na,na,na,1401,220,na,na,na,na,na,na,568,na,na
  1964 Jul,16281,na,343,na,163,2405,na,na,na,1621,160,na,na,na,na,na,na,1758,na,na
  1964 Aug,16701,na,337,na,309,1885,na,na,na,1638,210,na,na,na,na,na,na,712,na,na
  1964 Sep,14978,na,230,na,281,1607,na,na,na,1371,190,na,na,na,na,na,na,600,na,na
  1964 Oct,17096,na,300,na,472,2477,na,na,na,2013,187,na,na,na,na,na,na,690,na,na
  1964 Nov,18245,na,280,na,614,2605,na,na,na,2351,165,na,na,na,na,na,na,564,na,na
  1964 Dec,19886,na,245,na,513,1862,na,na,na,1824,161,na,na,na,na,na,na,1520,na,na
  1965 Jan,17864,na,207,na,374,1758,na,na,na,1521,178,na,na,na,na,na,na,984,na,na
  1965 Feb,16988,na,256,na,494,1980,na,na,na,1346,183,na,na,na,na,na,na,690,na,na
  1965 Mar,18571,na,332,na,437,2058,na,na,na,1644,248,na,na,na,na,na,na,598,na,na
  1965 Apr,20258,na,385,na,343,2068,na,na,na,2514,262,na,na,na,na,na,na,870,na,na
  1965 May,20468,na,305,na,582,2160,na,na,na,2966,205,na,na,na,na,na,na,1076,na,na
  1965 Jun,16531,na,294,na,355,1390,na,na,na,2106,235,na,na,na,na,na,na,882,na,na
  1965 Jul,21019,na,316,na,681,2147,na,na,na,2623,201,na,na,na,na,na,na,2393,na,na
  1965 Aug,21032,na,338,na,365,1906,na,na,na,2532,322,na,na,na,na,na,na,1103,na,na
  1965 Sep,17825,na,262,na,369,1804,na,na,na,1742,210,na,na,na,na,na,na,902,na,na
  1965 Oct,19327,na,213,na,638,2711,na,na,na,2658,348,na,na,na,na,na,na,774,na,na
  1965 Nov,19738,na,375,na,540,2477,na,na,na,2688,309,na,na,na,na,na,na,612,na,na
  1965 Dec,22930,na,394,na,605,1852,na,na,na,1919,213,na,na,na,na,na,na,1537,na,na
  1966 Jan,19674,na,323,9911,367,1711,na,na,na,1554,181,na,na,na,na,na,na,878,na,na
  1966 Feb,18502,na,346,8876,450,2179,na,na,na,1567,217,na,na,na,na,na,na,485,na,na
  1966 Mar,19554,na,386,8928,345,2061,na,na,na,1721,232,na,na,na,na,na,na,885,na,na
  1966 Apr,22266,na,341,10035,445,2425,na,na,na,2512,238,na,na,na,na,na,na,715,na,na
  1966 May,21311,na,304,9122,585,2086,na,na,na,2844,165,na,na,na,na,na,na,581,na,na
  1966 Jun,20129,na,471,8891,393,1879,na,na,na,2172,223,na,na,na,na,na,na,568,na,na
  1966 Jul,23641,na,573,9574,618,2222,na,na,na,2783,237,na,na,na,na,na,na,2069,na,na
  1966 Aug,24238,na,704,10953,466,2234,na,na,na,2279,181,na,na,na,na,na,na,983,na,na
  1966 Sep,21791,na,547,9946,507,1937,na,na,na,2094,184,na,na,na,na,na,na,706,na,na
  1966 Oct,23914,na,733,9363,977,3123,na,na,na,2766,209,na,na,na,na,na,na,697,na,na
  1966 Nov,25337,na,936,10105,607,3453,na,na,na,3214,289,na,na,na,na,na,na,527,na,na
  1966 Dec,29729,na,904,12421,785,2888,na,na,na,2321,315,na,na,na,na,na,na,1221,na,na
  1967 Jan,24505,na,1035,11385,546,2401,na,na,na,1718,186,na,na,na,na,na,na,689,na,na
  1967 Feb,24067,na,1414,11070,536,2419,na,na,na,1858,204,na,na,na,na,na,na,530,na,na
  1967 Mar,26357,na,1772,10877,552,2576,na,na,na,2389,289,na,na,na,na,na,na,841,na,na
  1967 Apr,29351,na,2011,12429,729,2903,na,na,na,2718,266,na,na,na,na,na,na,643,na,na
  1967 May,29076,na,1821,11100,832,3344,na,na,na,3384,283,na,na,na,na,na,na,583,na,na
  1967 Jun,25634,na,1944,10563,571,2426,na,na,na,2252,299,na,na,na,na,na,na,729,na,na
  1967 Jul,31159,na,2389,10662,731,3218,na,na,na,3252,313,na,na,na,na,na,na,2368,na,na
  1967 Aug,33547,na,3060,13188,770,3358,na,na,na,2793,426,na,na,na,na,na,na,768,na,na
  1967 Sep,29002,na,2501,11006,576,2746,na,na,na,2452,448,na,na,na,na,na,na,1015,na,na
  1967 Oct,30752,na,2890,10629,746,3505,na,na,na,3014,299,na,na,na,na,na,na,920,na,na
  1967 Nov,31148,na,2719,10761,803,4138,na,na,na,2997,306,na,na,na,na,na,na,616,na,na
  1967 Dec,35570,na,3082,12934,875,3416,na,na,na,2481,440,na,na,na,na,na,na,1511,na,na
  1968 Jan,30783,na,2514,12324,646,2980,na,na,na,1921,389,na,na,na,na,na,na,740,na,na
  1968 Feb,28879,na,2598,11610,747,3126,na,na,na,2022,302,na,na,na,na,na,na,591,na,na
  1968 Mar,31072,na,3181,11481,789,3012,na,na,na,2491,384,na,na,na,na,na,na,854,na,na
  1968 Apr,35549,na,3747,13073,822,3677,na,na,na,3040,381,na,na,na,na,na,na,786,na,na
  1968 May,34114,na,3409,11522,882,3775,na,na,na,3490,434,na,na,na,na,na,na,562,na,na
  1968 Jun,31357,na,3036,10904,782,2991,na,na,na,2741,492,na,na,na,na,na,na,663,na,na
  1968 Jul,34943,na,3512,11636,779,3427,na,na,na,3054,421,na,na,na,na,na,na,2219,na,na
  1968 Aug,38365,na,4087,14280,811,3495,na,na,na,3167,724,na,na,na,na,na,na,984,na,na
  1968 Sep,33023,na,3046,12536,624,2998,na,na,na,2850,566,na,na,na,na,na,na,873,na,na
  1968 Oct,36237,na,3509,12118,851,4642,na,na,na,3454,561,na,na,na,na,na,na,977,na,na
  1968 Nov,36340,na,3511,12333,1102,3772,na,na,na,3351,627,na,na,na,na,na,na,816,na,na
  1968 Dec,42090,na,3773,14630,911,3694,na,na,na,3379,620,na,na,na,na,na,na,1672,na,na
  1969 Jan,37132,na,4179,13733,667,3507,na,na,na,2463,596,na,na,na,na,na,na,929,na,na
  1969 Feb,35154,na,4092,13082,863,3586,na,na,na,2409,568,na,na,na,na,na,na,671,na,na
  1969 Mar,38858,na,4849,13097,914,3741,na,na,na,2751,711,na,na,na,na,na,na,971,na,na
  1969 Apr,43755,na,5988,15161,1000,4384,na,na,na,3638,769,na,na,na,na,na,na,745,na,na
  1969 May,41822,na,5191,11947,1333,5106,na,na,na,3860,844,na,na,na,na,na,na,776,na,na
  1969 Jun,37321,na,4846,10938,1013,3987,na,na,na,3219,777,na,na,na,na,na,na,899,na,na
  1969 Jul,45684,na,5691,13228,1141,5075,na,na,na,3973,770,na,na,na,na,na,na,2672,na,na
  1969 Aug,47886,na,6574,15569,1001,4963,na,na,na,3779,858,na,na,na,na,na,na,1771,na,na
  1969 Sep,43589,na,6007,13763,814,3631,na,na,na,3351,846,na,na,na,na,na,na,1903,na,na
