date,total_passengers_dep,sea_total_dep,sea_indonesia_dep,sea_malaysia_dep,sea_philippines_dep,sea_thailand_dep,sea_vietnam_dep,nth_east_asia_total_dep,nth_east_asia_china_dep,nth_east_asia_hongkong_dep,nth_east_asia_japan_dep,sth_asia_total_dep,mid_east_total_dep,oceania_total_dep,europe_total_dep,europe_france_dep,europe_germany_dep,europe_UK_dep,nth_america_total_dep,other_regions_total_dep
  1961 Jan,11355,na,1878,na,122,919,na,na,na,881,71,na,na,na,na,na,na,455,na,na
  1961 Feb,11060,na,1458,na,141,1083,na,na,na,1008,121,na,na,na,na,na,na,367,na,na
  1961 Mar,12884,na,1671,na,195,1850,na,na,na,1459,88,na,na,na,na,na,na,441,na,na
  1961 Apr,13162,na,1841,na,233,1836,na,na,na,1489,284,na,na,na,na,na,na,621,na,na
  1961 May,11895,na,1601,na,257,1619,na,na,na,1261,115,na,na,na,na,na,na,492,na,na
  1961 Jun,10897,na,1517,na,165,1165,na,na,na,1018,94,na,na,na,na,na,na,535,na,na
  1961 Jul,12350,na,1966,na,144,1470,na,na,na,1112,86,na,na,na,na,na,na,550,na,na
  1961 Aug,12959,na,1991,na,296,1293,na,na,na,1235,88,na,na,na,na,na,na,586,na,na
  1961 Sep,13202,na,1484,na,177,1333,na,na,na,1447,100,na,na,na,na,na,na,1570,na,na
  1961 Oct,13218,na,1805,na,306,1681,na,na,na,1436,191,na,na,na,na,na,na,417,na,na
  1961 Nov,13314,na,1838,na,269,1645,na,na,na,1566,158,na,na,na,na,na,na,442,na,na
  1961 Dec,13463,na,2091,na,214,1374,na,na,na,1389,168,na,na,na,na,na,na,491,na,na
  1962 Jan,12949,na,1759,na,211,1227,na,na,na,934,106,na,na,na,na,na,na,563,na,na
  1962 Feb,12432,na,1553,na,190,1422,na,na,na,954,108,na,na,na,na,na,na,349,na,na
  1962 Mar,14028,na,1810,na,321,2147,na,na,na,1461,241,na,na,na,na,na,na,454,na,na
  1962 Apr,14933,na,1943,na,259,2080,na,na,na,1686,285,na,na,na,na,na,na,627,na,na
  1962 May,13975,na,1575,na,377,1899,na,na,na,1485,205,na,na,na,na,na,na,557,na,na
  1962 Jun,12547,na,1628,na,244,1498,na,na,na,1113,147,na,na,na,na,na,na,550,na,na
  1962 Jul,13904,na,2017,na,278,1991,na,na,na,1202,151,na,na,na,na,na,na,503,na,na
  1962 Aug,14877,na,2464,na,345,1506,na,na,na,1596,171,na,na,na,na,na,na,624,na,na
  1962 Sep,15255,na,1901,na,184,1653,na,na,na,1533,181,na,na,na,na,na,na,1681,na,na
  1962 Oct,14717,na,1758,na,320,1859,na,na,na,1593,242,na,na,na,na,na,na,511,na,na
  1962 Nov,15993,na,1807,na,411,2062,na,na,na,2000,255,na,na,na,na,na,na,419,na,na
  1962 Dec,15528,na,1975,na,232,1732,na,na,na,1670,214,na,na,na,na,na,na,505,na,na
  1963 Jan,14363,na,1587,na,220,1322,na,na,na,1052,111,na,na,na,na,na,na,578,na,na
  1963 Feb,13699,na,1562,na,189,1464,na,na,na,1386,104,na,na,na,na,na,na,307,na,na
  1963 Mar,15784,na,1644,na,282,2478,na,na,na,1762,199,na,na,na,na,na,na,554,na,na
