Date,Total Aircraft Arrivals And Departures ,Total Aircraft Arrivals And Departures -> Aircraft Arrivals ,Total Aircraft Arrivals And Departures -> Aircraft Departures ,Total Passengers,Total Passengers Arriving,Total Passengers Departing,Total Passengers In Transit,Total Air Cargo Tonnage ,Total Air Cargo Tonnage -> Imports Of Air Cargo Tonnage ,Total Air Cargo Tonnage -> Exports Of Air Cargo Tonnage ,Total Direct Tonnage ,Total Direct Tonnage -> Imports Of Direct Tonnage ,Total Direct Tonnage -> Exports Of Direct Tonnage ,Total Transhipment Tonnage ,Total Transhipment Tonnage -> Imports Of Transhipment Tonnage ,Total Transhipment Tonnage -> Exports Of Transhipment Tonnage ,Total Mail ,Total Mail -> In-Coming Mail ,Total Mail -> Out-Going Mail 
  2025 Feb,29238,14614,14624,5441857,2754111,2645524,42222,143108,77198,65910,87822,49606,38216,55286,27592,27694,828,408,420
  2025 Jan,33104,16553,16551,6155064,3130805,2971086,53173,159763,86826,72937,95309,54722,40587,64454,32104,32350,887,439,448
  2024 Dec,33155,16579,16576,6410825,3218469,3144724,47632,170761,90969,79792,105124,59286,45838,65637,31683,33954,1129,534,595
  2024 Nov,30787,15385,15402,5741007,2839182,2855880,45945,172793,92989,79804,105299,59512,45787,67494,33477,34018,1056,458,598
  2024 Oct,31329,15666,15663,5650043,2757008,2840028,53007,177714,94909,82805,108299,60528,47771,69415,34381,35034,1029,459,571
  2024 Sep,29930,14962,14968,5399080,2718654,2624277,56149,172046,91876,80169,102914,57855,45058,69132,34021,35111,1076,461,615
  2024 Aug,31180,15583,15597,5729606,2820647,2851555,57404,166479,90834,75645,100352,57260,43092,66127,33575,32553,1132,476,656
  2024 Jul,30964,15481,15483,5704270,2905055,2740326,58889,173896,93716,80180,104986,59666,45320,68910,34050,34860,1109,479,630
  2024 Jun,30059,15023,15036,5621575,2870988,2697954,52633,157297,83162,74135,88139,49337,38802,69158,33825,35333,1171,480,692
  2024 May,30123,15051,15072,5482723,2688803,2746455,47465,170471,91470,79001,101713,57119,44594,68757,34350,34407,1107,467,640
  2024 Apr,29098,14547,14551,5402910,2732578,2625504,44828,158109,84596,73512,96840,54337,42503,61269,30260,31009,1263,582,680
  2024 Mar,30409,15194,15215,5726451,2838535,2846893,41023,176067,95275,80792,106453,60457,45995,69615,34818,34797,1167,613,554
  2024 Feb,28822,14411,14411,5352680,2645916,2668973,37791,143078,77090,65987,86564,49429,37135,56514,27661,28852,1039,411,629
  2024 Jan,30127,15069,15058,5429031,2839143,2545159,44729,156142,84249,71893,94362,53170,41192,61779,31079,30700,1224,461,763
  2023 Dec,30436,15208,15228,5814627,2911784,2861776,41067,150575,84449,66126,93259,54310,38949,57316,30139,27177,1556,576,981
  2023 Nov,28003,13997,14006,5147331,2505727,2603008,38596,150215,76904,73311,91969,49553,42416,58246,27351,30895,1534,481,1053
  2023 Oct,28708,14355,14353,5122657,2550710,2526293,45654,152676,79488,73188,93630,50494,43136,59046,28994,30052,1330,486,845
  2023 Sep,27839,13917,13922,4873855,2434215,2388208,51432,153785,81235,72550,93643,51266,42377,60142,29969,30173,1494,525,969
  2023 Aug,28922,14457,14465,5147997,2550494,2543189,54314,148770,79285,69485,90078,50161,39917,58692,29124,29568,1629,562,1068
  2023 Jul,28870,14432,14438,5274889,2701718,2518522,54649,148810,78006,70804,93043,50418,42625,55767,27588,28179,1479,506,973
  2023 Jun,27522,13753,13769,5119252,2580813,2492201,46238,135471,73761,61709,86165,48076,38089,49306,25685,23621,1482,506,976
  2023 May,27571,13791,13780,4838555,2376786,2416651,45118,142117,74001,68116,90477,48446,42031,51640,25555,26085,1620,561,1059
  2023 Apr,26301,13150,13151,4603335,2304751,2256075,42509,140893,73995,66898,90960,49291,41670,49932,24704,25228,1753,556,1197
  2023 Mar,26088,13042,13046,4633939,2294797,2300042,39100,152482,80520,71962,97640,53428,44212,54842,27092,27750,2183,683,1501
  2023 Feb,22856,11425,11431,4002734,1998306,1968204,36224,130936,68224,62712,87288,46535,40753,43648,21689,21959,1810,627,1183
  2023 Jan,25176,12597,12579,4366912,2254509,2071973,40430,133497,70094,63403,85680,45110,40570,47817,24984,22834,1594,587,1007
  2022 Dec,25352,12672,12680,4620193,2302447,2279572,38174,152562,79887,72676,99029,53328,45701,53533,26559,26974,1795,662,1133
  2022 Nov,23651,11820,11831,3963295,1922090,2003017,38188,150754,78223,72531,99219,52567,46651,51535,25655,25879,1817,552,1265
  2022 Oct,21784,10876,10908,3687774,1823550,1829816,34408,152297,79467,72831,101512,54313,47199,50786,25154,25632,1355,534,821
  2022 Sep,20430,10211,10219,3421600,1720124,1667116,34360,154133,80892,73241,101207,54704,46503,52926,26188,26738,1343,516,827
  2022 Aug,20433,10211,10222,3319381,1668806,1611674,38901,152653,80980,71673,101835,55868,45967,50818,25112,25706,1371,536,835
  2022 Jul,20275,10128,10147,3300213,1671555,1587229,41429,163274,84334,78940,109693,57816,51877,53580,26518,27062,1600,558,1042
  2022 Jun,18380,9180,9200,2927392,1470490,1430792,26110,163290,83645,79644,109517,57111,52406,53772,26534,27238,1436,517,919
  2022 May,17109,8557,8552,2465500,1233581,1212096,19823,153450,81983,71466,104950,57064,47886,48499,24919,23580,1471,839,631
  2022 Apr,15055,7519,7536,1932520,965450,951502,15568,152296,82528,69768,105131,57772,47360,47165,24756,22409,1750,529,1221
  2022 Mar,13172,6572,6600,1141411,568945,565823,6643,151989,67694,84295,103307,47874,55434,48682,19820,28862,1620,571,1049
  2022 Feb,10852,5424,5428,702917,365864,334406,2647,136794,70442,66352,94184,49570,44613,42611,20872,21738,1401,479,922
  2022 Jan,12175,6076,6099,719926,393421,323007,3498,169465,87916,81549,109068,57465,51603,60397,30451,29946,1547,626,921
  2021 Dec,12151,6066,6085,817092,394269,418214,4609,183824,93880,89944,122889,63941,58948,60935,29939,30996,1910,725,1185
  2021 Nov,10441,5215,5226,395289,184721,207540,3028,177416,91447,85969,117170,61483,55687,60246,29964,30283,1719,688,1030
  2021 Oct,10185,5091,5094,255148,120883,131402,2863,182035,93359,88676,120489,62880,57609,61546,30479,31067,1961,771,1191
  2021 Sep,9427,4706,4721,219506,103831,113378,2297,171303,88681,82621,109823,58129,51695,61479,30553,30926,1895,706,1189
  2021 Aug,9294,4647,4647,211408,98300,111014,2094,165475,86774,78701,105939,57082,48857,59536,29692,29844,1945,696,1248
  2021 Jul,9400,4693,4707,203701,96367,105118,2216,163550,86695,76855,106251,58203,48047,57300,28492,28808,2059,815,1244
  2021 Jun,8821,4399,4422,178361,76387,99250,2724,160959,84403,76556,108879,58293,50587,52080,26111,25969,1856,695,1161
  2021 May,8702,4348,4354,171277,74145,95254,1878,159727,83404,76323,107435,57480,49954,52292,25924,26369,1901,665,1236
  2021 Apr,8166,4078,4088,173061,85019,86579,1463,155141,80382,74759,107147,56635,50512,47993,23747,24247,2068,706,1362
  2021 Mar,8103,4048,4055,165638,81820,83568,250,157387,82566,74822,110311,59291,51020,47076,23275,23802,2335,814,1521
  2021 Feb,6707,3352,3355,117513,58750,58669,94,123914,63596,60318,86734,45880,40854,37180,17716,19464,1729,628,1102
  2021 Jan,7495,3744,3751,144931,73345,71487,99,145957,76617,69340,102607,54912,47695,43351,21706,21645,2054,699,1356
  2020 Dec,7525,3760,3765,151860,75337,76350,173,147676,78061,69615,105005,56922,48083,42671,21139,21532,2363,853,1511
  2020 Nov,6572,3278,3294,110737,50114,60232,391,140030,74240,65789,97875,53318,44558,42154,20923,21232,2289,674,1615
  2020 Oct,5890,2944,2946,98290,42267,56006,17,129083,67102,61981,93726,49177,44550,35357,17925,17431,1927,707,1221
  2020 Sep,5623,2814,2809,90241,35508,54703,30,124524,65209,59315,90207,48211,41996,34317,16998,17319,1915,640,1275
  2020 Aug,5562,2777,2785,84296,32865,51371,60,120115,62876,57239,85951,45973,39978,34164,16903,17261,2500,614,1886
  2020 Jul,5247,2621,2626,85981,34261,51415,305,118912,62660,56252,87290,46868,40422,31621,15791,15830,3054,642,2412
  2020 Jun,4779,2390,2389,48241,13996,34190,55,111665,58680,52985,82903,44206,38697,28762,14474,14288,2496,637,1859
  2020 May,4472,2237,2235,24504,3976,20400,128,103122,55798,47324,80453,44664,35789,22669,11134,11535,1633,431,1202
  2020 Apr,3865,1920,1945,25189,5776,17340,2073,95838,53217,42620,75451,43362,32089,20386,9855,10532,931,227,705
  2020 Mar,16223,8146,8077,1649662,828317,791383,29962,149444,83425,66019,99611,58354,41257,49833,25071,24762,2558,757,1802
  2020 Feb,26231,13115,13116,3446022,1687083,1718033,40906,146828,79361,67467,93170,52390,40780,53658,26971,26687,3159,1109,2050
